location_name,city,population_density_per_sqkm,annual_growth_rate_pct,purchasing_power_index,median_household_income_inr
Marol Naka,Mumbai,39000,3.1,76,87000
Andheri East SV Rd,Mumbai,48000,3.5,82,94000
Bandra West LR,Mumbai,56000,4.2,94,122000
Kurla West Jn,Mumbai,40000,2.9,66,73000
Borivali West STn,Mumbai,33000,4.3,72,80000
Thane Naupada,Mumbai,28000,4.9,70,78000
Malad Inorbit Area,Mumbai,36000,3.8,80,90000
Ghatkopar East,Mumbai,38000,3.2,75,82000
Mulund West,Mumbai,27000,4.0,68,75000
Navi Mumbai Vashi,Mumbai,25000,5.8,74,84000
Dadar TT Circle,Mumbai,62000,2.4,83,96000
Chembur Colony,Mumbai,34000,2.8,71,79000
Goregaon East Hub,Mumbai,31000,4.1,77,86000
Kandivali West,Mumbai,30000,3.9,73,81000
Santacruz West,Mumbai,47000,3.3,86,98000
Powai Hiranandani,Mumbai,29000,6.2,89,108000
Juhu Vile Parle,Mumbai,44000,3.0,91,115000
Lower Parel Worli,Mumbai,50000,3.6,92,118000
Kharghar Sector 7,Mumbai,21000,6.8,69,77000
Mira Road East,Mumbai,24000,5.4,67,74000
Dombivli East,Mumbai,22000,4.6,64,71000
Vikhroli Parksite,Mumbai,28000,3.5,68,76000
Connaught Place,Delhi,60000,2.1,96,128000
Lajpat Nagar Mkt,Delhi,46000,2.5,82,98000
Karol Bagh Main,Delhi,52000,2.3,80,96000
Saket Select CW,Delhi,40000,3.9,90,114000
Rajouri Garden,Delhi,44000,3.2,77,90000
Dwarka Sector 10,Delhi,29000,5.3,72,85000
Rohini Sector 7,Delhi,34000,4.7,69,81000
Janakpuri DC,Delhi,40000,3.4,75,88000
Nehru Place,Delhi,48000,2.8,86,102000
Vasant Kunj,Delhi,38000,5.0,88,108000
Gurgaon Sector 29,Delhi,38000,7.2,94,126000
Noida Sector 18,Delhi,36000,6.8,88,112000
Gurgaon Cyber City,Delhi,28000,8.4,96,132000
