location_name,city,population_density_per_sqkm,annual_growth_rate_pct,purchasing_power_index,median_household_income_inr
Marol Naka Site,Mumbai,42000,3.2,78,85000
Kurla West Junction,Mumbai,38000,2.8,65,72000
Andheri Station East,Mumbai,35000,2.5,70,78000
Malviya Nagar Crossing,Jaipur,18000,4.1,71,68000
C-Scheme Central,Jaipur,22000,3.8,75,72000
Vaishali Nagar West,Jaipur,15000,3.5,62,60000
Koramangala 5th Block,Bangalore,28000,4.5,82,95000
HSR Layout Sector 2,Bangalore,24000,4.2,79,88000
Indiranagar 100ft Road,Bangalore,26000,3.9,76,85000
Whitefield Main Road,Bangalore,20000,3.6,68,75000
